id,莆仙话,拼音,国际音标,释义,例句_莆仙话,例句_普通话,文化注释,来源
1374,担花篮,dä1hua1nä2,tɒ21hua13nɒ13,把礼物放在礼篮中，成担挑了送礼。,,,,hinghwa-RAG词典
1375,担豆花阿,dä1dao5hua1a1,tɒ21tau21hua55ɛʔ4,卖豆腐脑的人。,,,,hinghwa-RAG词典
1376,担豆浆地生汤阿,dä1dao5ziao1de5seng1tung1a1,tɒ21tau21liau55te21ɛŋ21thuŋ533ŋɛʔ4,卖豆浆和花生汤的人。,,,,hinghwa-RAG词典
1377,担灶,dä1zao4,tɒ21tsau42,满月后的婴儿抱到外婆家做客以及从外婆家回来时，大人会用锅底灰抹孩子的鼻尖，并用破鱼网蒙头。称“担灶”，以保佑平安。回家之时，外公婆则要给婴儿挂脰。,,,参看【挂脰】在第82页。,hinghwa-RAG词典
1378,担青炊阿,dä1cing1cuai1a1,tɒ21tshiŋ21tshuai55ɛʔ4,挑着青炊鱼四处叫卖或在路旁摆摊的小商贩。,,,参看【青炊】在第36页。,hinghwa-RAG词典
1379,担担,dä1dä4,tɒ21lɒ42,挑担子：看侬～伓使力（看人挑担不费劲）。,,,,hinghwa-RAG词典
1380,担瓮阿,dä1ang4a1,tɒ21aŋ42ŋɛʔ1,挑着小件瓷器到处叫卖的人。,,,,hinghwa-RAG词典
1381,担索,dä1so5,tɒ42lo21,一种长绳子(用于捆货物)。,,,,hinghwa-RAG词典
1382,担柴爿,dä1cä2be2,tɒ21tshɒ21pe13,挑柴。,,,,hinghwa-RAG词典
1383,担粗水,dä1cou1zui3,tɒ21tshɔu21lui453,挑人粪尿到田间施肥。,,,,hinghwa-RAG词典
1384,担葱卖菜阿,dä1cang1be5cai4a1,tɒ21tshaŋ55pe55tshai42ɛʔ1,挑着青菜到处叫卖的人。,,,,hinghwa-RAG词典
1385,担鼎阿,dä1dia3a1,tɒ21tia13ɛʔ453,卖铁锅的。△做田阿穿（穿）麻衫，～穿乌裤（种田的多流汗，穿麻织的衣服容易透气吸汗。铁锅带有铸铁烟灰，粘上即黑，卖挑铁锅的一般穿黑裤子，脏了也看不见）。,,,,hinghwa-RAG词典
1386,担粪,dä1bong4,tɒ13ɔŋ42,将垫猪圈的土挖起，挑到田间当做施肥的肥料。,,,,hinghwa-RAG词典
1387,担箩拾骨,dä1lua2kak6gok6,tɒ21lua13khak4kɔʔ1,来送死。,,,,hinghwa-RAG词典
1388,担潘,dä1pëng1,tɒ21phœŋ533,挨家挨户或到饮食店收集泔水，用于喂猪。,,,,hinghwa-RAG词典
1389,担篮囝乓阿,dä1lang3güä3bäng1a1,tɒ21laŋ21ŋyɒ21pɒŋ55ŋɛʔ4,挑着水果青菜等沿路叫卖的人。,,,,hinghwa-RAG词典
1390,焦,dä1,tɒ533,干，与“㴷”相对：衫曝～咯（衣服晒干了）,,,,hinghwa-RAG词典
1391,焦元,dä1ngëng2,tɒ21ŋœŋ13,焙制龙眼干的半成品。,,,,hinghwa-RAG词典
1392,焦花㴷籽,dä1hua1dang2zi3,tɒ21hua55tan21tsi453,大豆开花时要求晴朗干燥的好天气，结荚时要求湿度大，因为这样对大豆灌浆饱满有好处。,,,,hinghwa-RAG词典
1393,茶心,dä2sing1,tɒ21liŋ533,茶叶。也说茶箬。,,,,hinghwa-RAG词典
1394,茶古,dä2gou3,tɒ21kɔu453,茶壶。,,,,hinghwa-RAG词典
1395,茶色,dä2sek6,tɒ42ɬeʔ1,茶褐色。,,,,hinghwa-RAG词典
1396,茶厚,dä2gao5,tɒ13kau21,茶浓。,,,,hinghwa-RAG词典
1397,茶盅,dä2zëng1,tɒ21lœŋ533,小茶杯。,,,,hinghwa-RAG词典
1398,茶粕,dä2po5,tɒ42pho21,泡过不用的茶叶渣儿。,,,,hinghwa-RAG词典
1399,茶箬,dä2niao2,tɒ21niau13,茶叶。,,,,hinghwa-RAG词典
1400,茶䭁,dä2zia3,tɒ13tsia453,茶淡。,,,,hinghwa-RAG词典
1401,茶䉐,dä2kou1,tɒ21ɔu533,茶籽饼。茶籽榨油后剩下的残渣压制而成，作为有机化肥使用。,,,,hinghwa-RAG词典
1402,踏三轮车阿,dä2sä1long2cia1a1,tɒ21ɬɒ21lɔn21nia55ɛʔ4,骑三轮车载客的人。,,,,hinghwa-RAG词典
1403,踏车,dä2cia1,tɒ21lia533,车水：抗旱～滥田（灌田）。△半暝～踏落沟（半夜车水没有堵住出水缺口，结果水全回流到河里。喻徒劳无功）,,,,hinghwa-RAG词典
1404,踏斗,dä2dao3,tat4tau453,屋内的固定楼梯。,,,,hinghwa-RAG词典
1405,踏扇,dä2sing4,tɒ55liŋ42,旧式木床铺前放置的踮脚案几。,,,,hinghwa-RAG词典
1406,踏脚车,dä2kä1cia1,tɒ21khɒ21lia533,骑自行车。,,,,hinghwa-RAG词典
1407,踏脚车背,dä2kä1cia1buai4,tɒʔ1khɒ21lia13puai21,骑自行车载客。,,,,hinghwa-RAG词典
1408,踏散车,dä2sang4cia1,tɒ21ɬan55nia533,用自行车运送零散的客人。,,,,hinghwa-RAG词典
1409,打迭,dä3diak7,tɒt1liaʔ4,治疗。△屎流～泻痢（经过治疗，病反而加重了。）,,,,hinghwa-RAG词典
1410,胆头粗,dä3tao2cou1,tɒ13lau13tshɔu533,胆子很大。,,,,hinghwa-RAG词典
1411,胆放大,dä3bang4dua5,tɒ453pan42tua21,放胆，大胆：～行头前去，伓通看下底。,,,,hinghwa-RAG词典
1412,胆细,dä3se4,tɒ453ɬe42,胆儿小。,,,,hinghwa-RAG词典
1413,捣搅,dä3gä3,tɒ21kɒ453,捣乱；作弄：事体乞～坏落尾。②暗中作弊：～来厄名额。,,,,hinghwa-RAG词典
1414,倒后厄,dä3ao5ek6,tɒ13au21ɛʔ1,后天。,,,,hinghwa-RAG词典
1415,倒横,dä3hua2,tɒ13ua13,横着：倒横睏,,,,hinghwa-RAG词典
1416,担重,dä4dang5,tɒ42taŋ21,事态严重。,,,,hinghwa-RAG词典
1417,到任,dä4zing5,tɒ42liŋ21,上任。,,,,hinghwa-RAG词典
1418,搭大印,dä5dua5ing4,tɒ55tua55iŋ42,盖公章。,,,,hinghwa-RAG词典
1419,搭手印,dä5ciu3ing4,tɒ42tshiu21iŋ42,按手印。,,,,hinghwa-RAG词典
1420,搭印,dä5ing4,tɒ55iŋ42,盖章。,,,,hinghwa-RAG词典
1421,搭头车,dä5tao2cia1,tɒ42lau21lia533,搭便车：我～去仙游。,,,,hinghwa-RAG词典
1422,搭桥亭,dä5giao2deng2,tɒ42kiau21lɛŋ13,黄石镇东花村逢闰五月初一至初七日，在东华河道的各桥上，搭起彩亭。,,,,hinghwa-RAG词典
1423,大家官,däk6gä1gua1,tœk1kɒ13ua533,公公婆婆两个。,,,,hinghwa-RAG词典
1424,卓,däk6,tɒʔ1,竖立，使直立:将箠～住,,,,hinghwa-RAG词典
1425,笃,däk6,tɒʔ1,副词，相当于普通话“就”：汝等等少停囝，伊马上～卜来咯,,,,hinghwa-RAG词典
1426,毒古,däk7gou3,tɒk1kɔu453,腮腺炎。,,,,hinghwa-RAG词典
1427,独一,däk7ik6,tɒʔ4iʔ1,没有可以相比的：写毛笔字伊～。,,,,hinghwa-RAG词典
1428,独下,däk7kä5,tɒk4kɒʔ1,诀窍：伊做事体大～。,,,,hinghwa-RAG词典
1429,独独,däk7däk7,tɒt4tɒʔ4,果然；果真：我猜是汝，～是。②唯独：～伊无来。,,,,hinghwa-RAG词典
1430,当央,däng1ng1,tɒ21ŋ533,里面：物乇（东西）都放～。,,,,hinghwa-RAG词典
1431,当央指,däng1ng1zai3,tɒn21nai453,中指。,,,,hinghwa-RAG词典
1432,当面当目,däng1ming4däng1mak7,tɒm21miŋ42tɒm21maʔ4,当面。,,,,hinghwa-RAG词典
1433,咚鼓,däng1gou3,tɒŋ21ŋɔu453,竹筒蒙皮所成的小鼓。,,,,hinghwa-RAG词典
1434,咚鼓唱,däng1gou3ciao4,tɒŋ21ŋɔu13tshiau42,演唱俚歌。,,,,hinghwa-RAG词典
1435,撞针,däng5ziang1,tɒn55niaŋ533,枪支中发射的装置。,,,,hinghwa-RAG词典
1436,鳀,de2,te13,一种海鱼，体长十余厘米，银灰色，侧扁。也称黑背鱼。,,,,hinghwa-RAG词典
1437,叠被,de2puai5,te42phuai21,将被子整理方正。,,,,hinghwa-RAG词典
1438,叠纸,de2züä3,te21tsyɒ453,折纸。,,,,hinghwa-RAG词典
1439,㓠,de3,te453,砍：～蔗,,,,hinghwa-RAG词典
1440,㓠蔗,de3zia2,te13lia42,砍甘蔗。,,,,hinghwa-RAG词典
1441,底,de3,te453,哪：～蜀个侬（哪个人）,,,,hinghwa-RAG词典
1442,底时节,de3si2ze5,te21ɬi42le21,什么时候。,,,,hinghwa-RAG词典
1443,底位,de3ui5,te13ua21,哪里：～有卖竹担,,,,hinghwa-RAG词典
1444,底迹,de3zia5,te13tsia21,哪个地方。,,,,hinghwa-RAG词典
1445,底落,de3lo2,ta21lo55,哪里：汝～侬,,,,hinghwa-RAG词典
1446,底蜀个,de3sok7ge2,tɛt1lɔk1ke13,哪一个：汝看是～侬。,,,,hinghwa-RAG词典
1447,底蜀日,de3sok7dik7,te21lɔt4tiʔ4,哪一天；什么时候：～汝会回头。,,,,hinghwa-RAG词典
1448,底蜀出,de3sok7cok6,te21lɔt4tshœʔ1,什么时候。,,,,hinghwa-RAG词典
1449,底蜀牵,de3sok7keng1,tɛt1lɔk1khɛŋ533,哪一件：者到底是～事体。,,,,hinghwa-RAG词典
1450,店主,de4zou3,te55lɔu453,店老板。②店铺的主人：店租交乞～。,,,,hinghwa-RAG词典
1451,店头,de4tao2,te42laul3,商店。,,,,hinghwa-RAG词典
1452,店囝,de4güä3,te55yɒ453,小店，常指买烟酒杂货的小店。,,,,hinghwa-RAG词典
1453,徛店头阿,de4tao2a1,khyɒ55te42lau13ɛʔ4,店员,,,,hinghwa-RAG词典
1454,橂,de5,te21,硬实；坚固，与“冇”的①义相对：铺袋装～～,,,,hinghwa-RAG词典
1455,地下,de5ä5,te42ɒ21,地面。,,,,hinghwa-RAG词典
1456,地龙,de5lëng2,tø21lœŋ13,蚯蚓。,,,,hinghwa-RAG词典
1457,地生,de5seng1,te21ɛŋ533,花生。△～无食露（花生在黄昏后叶片就闭合起来）。,,,,hinghwa-RAG词典
1458,地生仁,de5seng1zing2,te21ɛn21tsiŋ13,花生米捣碎后的两片或碎片。,,,,hinghwa-RAG词典
1459,地生仁汤,de5seng1zing2tung1,te21ɛn21tsin21thuŋ533,一种甜汤。花生米去皮，轧成两瓣，加糖炖成的汤。,,,,hinghwa-RAG词典
1460,地生壳,de5seng1kak6,te21ɛŋ13khaʔ1,花生壳。,,,,hinghwa-RAG词典
1461,地生油,de5seng1iu2,te21ɛŋ21ŋiu13,花生油。,,,,hinghwa-RAG词典
1462,地生核,de5seng1hok7,te21lɛŋ21hɔʔ4,花生米。,,,,hinghwa-RAG词典
1463,地生浆,de5seng1ziao1,te21lɛn21tsiau533,花生浆。,,,,hinghwa-RAG词典
1464,地生膜,de5seng1mu1,te21lɛŋ21mu533,花生米的皮。,,,,hinghwa-RAG词典
1465,地生敲,de5seng1kä4,te21ɛŋ13khɒŋ42,花生仁煮成块状的糖花生。,,,,hinghwa-RAG词典
1466,地生薯,de5seng1sü2,te21lɛn21ɬy13,花生地套种红薯。,,,,hinghwa-RAG词典
1467,地生䉐,de5seng1kou1,te21ɛŋ13ŋɔu533,花生饼。花生榨油后剩下的残渣压成饼状，作为有机化肥使用。,,,,hinghwa-RAG词典
1468,地动,de5dang5,te21taŋ21,地震。,,,,hinghwa-RAG词典
1469,地保,de5bä3,ti21po453,指旧时在地方上为官府办事的人。,,,,hinghwa-RAG词典
1470,地理先生,de5li3seng1sa1,te21li13len21na533,从事看风水的人。,,,,hinghwa-RAG词典
1471,弟子,de5zo3,te21lo453,学生。,,,,hinghwa-RAG词典
1472,弟妇,de5hu5,te42u21,弟媳；丈夫弟弟的老婆。,,,,hinghwa-RAG词典
1473,第一,de5ik6,tai13,副词，最：全班伊考～好,,,,hinghwa-RAG词典
1474,橂牢,de5dao5,te42tau21,坚固：躺椅大～。,,,,hinghwa-RAG词典
1475,橂涂,de5tou2,te21lɔu13,硬土,,,,hinghwa-RAG词典
1476,橂腹,de5bak6,te42βaʔ1,实心：者枝水泥柱珠是～或是空腹厄（这根水泥柱子是实心还是空心的）。②吃饱饭：药是空腹食，或是～食。,,,,hinghwa-RAG词典
1477,得失,dek6sik6,tet4ɬiʔ1,得罪：～蜀个侬。,,,,hinghwa-RAG词典
1478,滴大针,dek6dua5ziang1,tɛt4tua13liaŋ533,,,,同【挂瓶】。,hinghwa-RAG词典
1479,滴水,dek6zui3,tɛt4tsui453,屋檐末端。,,,,hinghwa-RAG词典
1480,滴水难消,dek6zui3nang2siao1,tɛt4tsui453nan21ɬiau533,虽一滴水之小亦不能消受。,,,,hinghwa-RAG词典
1481,德帝爷,dek6di4ia2,tɛʔle42ia13,三国时蜀汉名将关羽。,,,,hinghwa-RAG词典
1482,特地工,dek7de5gang1,tɛʔ4le21kaŋ533,副词，特地：伊去福州出差，～只来看汝。,,,,hinghwa-RAG词典
1483,特故,dek7gou4,tɛk4kɔu42,特意；故意：～旷课。,,,,hinghwa-RAG词典
1484,特特,dek7dek7,tɛt1tɛʔ4,特意：门头前～做蜀座假山。,,,,hinghwa-RAG词典
1485,值镭,dek7lui1,tɛt4lui533,值钱。,,,,hinghwa-RAG词典
1486,谪贬,dek7beng3,tɛp4pɛŋ453,贬谪：伊得罪头家，乞～到山区去教书。,,,,hinghwa-RAG词典
1487,僜,deng1,tɛŋ533,走路不稳跌跌撞撞：行～阿～。,,,,hinghwa-RAG词典
1488,丁心公,deng1sing1gäng1,tɛn13niŋ21ŋɒŋ533,丁香鱼。,,,也叫【白公】，【公青】。,hinghwa-RAG词典
1489,丁饼,deng1bia3,tem21mia453,旧时清明扫墓时按各房男丁数分给参加扫墓的人的饼。,,,,hinghwa-RAG词典
1490,灯火,deng1huai3,tɛŋ21ŋuai453,煤油灯。②照明物的亮光。,,,,hinghwa-RAG词典
1491,灯芯,deng1sing1,ten21niŋ533,煤油灯中用于吸油的棉线。,,,,hinghwa-RAG词典
1492,陈雷,deng2lui2,ten21lui13,打雷。,,,,hinghwa-RAG词典
1493,庭瓜,deng2gua1,tiŋ21ŋua533,甜瓜。,,,,hinghwa-RAG词典
1494,𦗀,deng2,tɛŋ13,响雷：雷公～阿～。,,,,hinghwa-RAG词典
1495,顶,deng3,tɛŋ453,上。②量词。用于帽子、磨等：头戴蜀～帽,,,,hinghwa-RAG词典
1496,顶工,deng3gang1,tɛŋ21ŋaŋ533,前几天。,,,,hinghwa-RAG词典
1497,顶下,deng3gä5,tɛŋ13ŋɒ21,上一次。,,,,hinghwa-RAG词典
1498,顶上昼,deng3siao5dao4,tɛn21niau55lau42,上午的上半段。,,,,hinghwa-RAG词典
1499,顶日,deng3dik7,tɛn21niʔ4,昨天。,,,,hinghwa-RAG词典
1500,顶手肚,deng3ciu3dou3,tɛn13niu13lɔu453,上臂。,,,,hinghwa-RAG词典
1501,顶月,deng3guai2,tɛŋ21kuai13,上个月。,,,,hinghwa-RAG词典
1502,顶爿,deng3be2,tɛm13me13,上头。与“下爿”相对。,,,,hinghwa-RAG词典
1503,顶半年,deng3bua4ning2,tem21mua42niŋ13,上半年。,,,,hinghwa-RAG词典
1504,顶半暝,deng3bua4ma2,tem21mua42ma13,上半夜。,,,,hinghwa-RAG词典
1505,顶头,deng3tao2,tɛn13nau13,上面。与“下头”相对。,,,,hinghwa-RAG词典
1506,顶礼拜,deng3le3bai4,tɛn13li21ai42,上星期。,,,,hinghwa-RAG词典
1507,顶出,deng3cok6,tɛn13tshœʔ1,前一阵子。,,,,hinghwa-RAG词典
1508,顶过,deng3go4,tɛŋ21ŋo42,上一次。,,,又叫【顶般】。,hinghwa-RAG词典
1509,顶年,deng3ning2,tɛn13niŋ13,,,,同【旧年】在第81页。,hinghwa-RAG词典
1510,顶向,deng3hiao4,tɛŋhiau42,上面。与“下向”相对。,,,,hinghwa-RAG词典
1511,顶向爿,deng3hiao4be2,tɛŋ21hiau42me13,上边，与“下向爿”相对。,,,,hinghwa-RAG词典
1512,顶行,deng3ng2,tɛŋ13ŋ13,,,,同【顶辈】见下方。,hinghwa-RAG词典
1513,顶范,deng3bang5,tɛm13maŋ21,前一阵子。,,,,hinghwa-RAG词典
1514,顶般,deng3bang1,tɛm13paŋ533,,,,同【顶过】见上方。,hinghwa-RAG词典
1515,顶座,deng3zo5,ten13no21,最先盖的正房，厅堂后部放祖先牌位。,,,,hinghwa-RAG词典
1516,顶排,deng3bai2,tem13mai13,上颏齿。,,,,hinghwa-RAG词典
1517,顶做下学,deng3bai2,deng3zo4ä5o2tɛn13tso42ɒ21o1,3上梁不正下梁歪。,,,,hinghwa-RAG词典
1518,顶脚肚,deng3kä1dou3,tɛŋ13ŋɒʔ1lɔu453,大腿。,,,,hinghwa-RAG词典
1519,顶辈,deng3buai4,tem21muai42,长辈。,,,也叫【顶行】见上方。,hinghwa-RAG词典
1520,顶铺,deng3pou1,tɛm21phɔu533,上铺。,,,,hinghwa-RAG词典
1521,顶番,deng3pang1,tɛm13phaŋ13,前一阵子。,,,,hinghwa-RAG词典
1522,顶肆,deng3si4,tɛn21ni42,上面。,,,,hinghwa-RAG词典
1523,顶满,deng3mua3,tem21mua453,刚才，上次：～汝去，者满轮我。,,,,hinghwa-RAG词典
1524,钉根廯,deng4güng1cüä3,tɛŋ42kyŋ13tshyɒ453,一种固定长在一个地方的廯。,,,,hinghwa-RAG词典
1525,钉紐,deng4diu3,tɛn21tiu453,钉纽扣。,,,,hinghwa-RAG词典
1526,钉窠,deng4ko1,tɛŋ55kho533,讹诈：汝卜者～。,,,,hinghwa-RAG词典
1527,电头发,deng5tao2huak6,tɛn55thau42uai21,烫头发。,,,,hinghwa-RAG词典
1528,电光,deng5gung1,tɛŋ21kuŋ533,电灯。,,,,hinghwa-RAG词典
1529,电光泡,deng5gung1pä5,tɛŋ13kuŋ13phɒ21,灯泡。,,,,hinghwa-RAG词典
1530,电光线,deng5gung1süä4,tɛŋ21kun13nyɒ453,电线。,,,,hinghwa-RAG词典
1531,电报杉,deng5bo4sang1,tem21mo55laŋ533,电线杆。,,,,hinghwa-RAG词典
1532,电条,deng5diao2,tɛn21tiau13,日光灯。,,,,hinghwa-RAG词典
1533,电涂,deng5tou2,tɛn21thɔu13,电池。,,,,hinghwa-RAG词典
1534,短䘼,dë3uai3,tø21uai453,短袖。,,,,hinghwa-RAG词典
1535,顿,dë4kä1,tø55khɒ533,跺。,,,,hinghwa-RAG词典
1536,毛织衫,dë5mä2zik6sä1,mɒ21tsit4ɬɒ533,,,,同【毛衫】在第129页。,hinghwa-RAG词典
1537,苎,dë5,tø21,苎麻。,,,,hinghwa-RAG词典
1538,黛青,dë5ca1,te21la533,青黛。土法治腮腺炎的药。,,,,hinghwa-RAG词典
1539,大官,dëk6gua1,tœk1kua533,公公（丈夫的父亲）。,,,,hinghwa-RAG词典
1540,大官新妇,dëk6gua1sing1hu5,tœk1kua13lim13mu21,公公和媳妇两个。,,,,hinghwa-RAG词典
1541,大家,dëk6gä1,tœk1kɒ533,婆婆（丈夫的母亲）。,,,,hinghwa-RAG词典
1542,大家新妇,dëk6gä1sing1hu5,tœk1kɒ13lim13mu21,婆媳。,,,,hinghwa-RAG词典
1543,竹马,dëk6bä3,tœp4pɒ453,竹制条椅型支架，用于架设竹榻（竹床）。,,,,hinghwa-RAG词典
1544,竹头,dëk6tao2,tœʔ4thau13,汉字偏旁，竹字头“𥫗”。,,,,hinghwa-RAG词典
1545,竹担,dëk6dä1,tœt4tɒ533,扁担。,,,,hinghwa-RAG词典
1546,竹席,dëk6ciao2,tœt4tshiau13,竹条排串而成的睡席。,,,,hinghwa-RAG词典
1547,竹椅,dëk6i3,tœʔ4i453,竹子做的椅子。,,,,hinghwa-RAG词典
1548,竹铺,dëk6pou1,tœp4phɔu533,竹制床铺。,,,,hinghwa-RAG词典
1549,竹楼梯,dëk6lao2tui1,tœt4lau13lui533,用竹子做的梯子。,,,,hinghwa-RAG词典
1550,竹篙,dëk6go1,tœk4ko533,晒衣杆。,,,也叫【笐篙】在第139页。,hinghwa-RAG词典
1551,竹簰,dëk6be2,tœp4pe13,溪中载货的竹筏。,,,,hinghwa-RAG词典
1552,筑血,dëk6he5,tœʔ4he21,淤血。,,,,hinghwa-RAG词典
1553,逐,dëk7,tœʔ4,追；赶：头前走，后向～（前面的跑，后面的追）,,,,hinghwa-RAG词典
1554,逐膎,dëk7ge2,tœk1ke13,一种经过晒干的鱼类食品。,,,,hinghwa-RAG词典
1555,中午昼,dëng1gou3dao4,tœŋ21ŋɔu13lau42,,,,同【中午时】见下方。,hinghwa-RAG词典
1556,中午时,dëng1gou3si2,tœŋ21ŋɔu13li13,中午。,,,也叫【中午昼】见上方。,hinghwa-RAG词典
1557,中坩,dëng1kä1,tœŋ21ŋɒ533,中等大小的饭钵子，一般能装四、五人的稀饭。,,,,hinghwa-RAG词典
1558,中堂,dëng1dung2,tœn21tɒŋ13,挂在大厅正中的祝寿贺幛或大字画。,,,,hinghwa-RAG词典
1559,中可,dëng1kä3,tœŋ55ŋɒ453,羡慕；想要：我～许架手提电脑。,,,,hinghwa-RAG词典
1560,中砖,dëng1zuai1,tœn21nuai533,砖头。,,,,hinghwa-RAG词典
1561,中砖古,dëng1në5kou3,tœn21nø21ɔu453,断砖。,,,,hinghwa-RAG词典
1562,中砖古箍,dëng1në5ou3kou1,tœn21nø21ɔu13khɔu533,断砖。,,,,hinghwa-RAG词典
1563,中砖箍,dëng1zuai1kou1,tœn21nuai21khɔu533,断砖。,,,也叫【砖箍】在第200页。,hinghwa-RAG词典
1564,重,dëng2,tœŋ13,量词。相当于层：隔蜀～纸。,,,,hinghwa-RAG词典
1565,重牙,dëng5gä2,tœŋ21ŋɒ13,在同一个部位长出两个牙齿。,,,,hinghwa-RAG词典
1566,重感,dëng5gang3,tœŋ21kaŋ453,感冒快好了又再次患上。,,,,hinghwa-RAG词典
1567,重墘,dëng5ging2,tœŋ21kiŋ13,双眼皮：目珠有～。,,,,hinghwa-RAG词典
1568,池搅,di2gä3,ti21kɒ453,搅茅坑的木制工具，一块小木板装在长木柄上。,,,也叫【屎搅】在第154页。,hinghwa-RAG词典
1569,挃,di2,ti13,要：我卜～许个（我要那个）,,,,hinghwa-RAG词典
1570,𤭌,di3,ti13,小碟：蜀～饭配（一小碟下饭的菜）。,,,,hinghwa-RAG词典
1571,戴孝,di4hao4,tua55hɒ42,旧时死人的亲属在亲人死去一段时间内，佩戴黑袖圈，表示对死去亲人的怀念。,,,,hinghwa-RAG词典
1572,戴症头,di4zing4tao2,ti55tsin42thau13,得了不易治好的病。,,,,hinghwa-RAG词典
1573,二二,di5ti5,ti42li21,二十二。,,,,hinghwa-RAG词典
1574,二十四景,di5sek7si4king3,ti11ɛʔ21ɬi55kiŋ453,清朝顺治年间林尧英所定的原莆田县境内二十四个著名景点。分别是紫霄怪石，三紫凌云，石室藏烟，壶山致雨，智泉珠瀑，碧濑飞泉，钟潭噌响，夹漈草堂，西湖水镜，木兰春涨，湄屿潮音，锦江春色，柳桥春晓，九华叠翠，白塘秋月，绶溪钓艇，宁海初日，东山晓旭，古囊峢献，天马晴岚，梅寺晨钟，西岩晚眺，谷城梅雪，南山松柏。由于年代久远，有的景点已成陈迹，有的已经消失。如位于常太镇岭头尾的“北濑飞泉”，已被淹没在东圳水库底,,,,hinghwa-RAG词典
1575,二十四精,di5se3si4zing1,ti21ɛʔ1ɬi55tshiŋ533,过分精灵的人。△～睏城门甬（喻聪明反被聪明误）。,,,,hinghwa-RAG词典
1576,二十四精,di5sek7si4zing1,ti21ɛʔ1ɬi55tsiŋ533,过分精明。,,,,hinghwa-RAG词典
1577,二五日头,di5ngou5dik7tao2,ti21ŋɔu13liʔ1thau13,农历十二月二十五日，相传为“天官赐福”的日子。这一天不能骂人，要做好事。,,,,hinghwa-RAG词典
1578,入伍,di5ou3,ti21iau453,进来：行～。,,,,hinghwa-RAG词典
1579,雉鸡,di5ge1,ti21e533,雉。,,,,hinghwa-RAG词典
1580,緻,di5,ti21,颗粒小，与“粗”相对：～沙,,,,hinghwa-RAG词典
1581,緻沙,di5sua1,ti21lua533,细沙。,,,,hinghwa-RAG词典
1582,埕头,dia2tao2,tia21lau13,门前的平坦场地：粟曝～（谷子晒在场子上）。,,,,hinghwa-RAG词典
1583,鼎,dia3,tia453,铁锅。△～迎悬，灶里那蜀把火灰（端起锅，灶膛里只有一把灰烬，喻家徒四壁）。,,,,hinghwa-RAG词典
1584,鼎□,dia3mai1,tia13khe21,锅巴。,,,,hinghwa-RAG词典
1585,鼎耳,dia3hi2,tia13hi21,铁锅两旁的提手。,,,,hinghwa-RAG词典
1586,鼎围,dia3ui2,tia13ui13,过的直径。,,,,hinghwa-RAG词典
1587,鼎灶,dia3zao4,tia21lau42,泛指做饭用具。,,,,hinghwa-RAG词典
1588,鼎板盖,dia3bang3gua4,tia13aŋ13ŋua42,锅盖。,,,又叫【鼎盖】见下方。,hinghwa-RAG词典
1589,鼎底,dia3de3,tia21le453,锅底儿（指内侧底部）。,,,,hinghwa-RAG词典
1590,鼎脐,dia3zai3,tia13tsai13,旧时生铁浇铸的铁锅外部下面最突出的地方，有一小圈硬币大小的地方，是平的。,,,,hinghwa-RAG词典
